type,selected_severity,description,location,target_severity,model_text
SAFETY,HIGH,יש סכנת התחשמלות נא לטפל בהקדם,בכניסה לבניין,HIGH,type_SAFETY selected_HIGH location_בכניסה לבניין יש סכנת התחשמלות נא לטפל בהקדם
CLEANLINESS,HIGH,נזילה חזקה שגורמת להצפה זה קורה כבר כמה פעמים,בגינה,HIGH,type_CLEANLINESS selected_HIGH location_בגינה נזילה חזקה שגורמת להצפה זה קורה כבר כמה פעמים
CLEANLINESS,MEDIUM,שקיות זבל נשארו ליד הכניסה,בחדר אשפה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בחדר אשפה שקיות זבל נשארו ליד הכניסה
OTHER,LOW,יש הערה קטנה לגבי תחזוקה,בקומה 2,LOW,type_OTHER selected_LOW location_בקומה 2 יש הערה קטנה לגבי תחזוקה
SAFETY,LOW,יש ונדליזם ליד המעלית,בחדר אשפה,MEDIUM,type_SAFETY selected_LOW location_בחדר אשפה יש ונדליזם ליד המעלית
SAFETY,HIGH,יש ניצוצות מארון החשמל בלובי הדיירים התלוננו על זה,בלובי,HIGH,type_SAFETY selected_HIGH location_בלובי יש ניצוצות מארון החשמל בלובי הדיירים התלוננו על זה
SAFETY,HIGH,יש ריח שרוף ליד ארון החשמל,בקומה 1,HIGH,type_SAFETY selected_HIGH location_בקומה 1 יש ריח שרוף ליד ארון החשמל
OTHER,HIGH,אירוע חריג שמצריך תגובה מיידית נא לטפל בהקדם,בחניה,HIGH,type_OTHER selected_HIGH location_בחניה אירוע חריג שמצריך תגובה מיידית נא לטפל בהקדם
NOISE,MEDIUM,רעש מתמשך מהחניה,ליד ארון החשמל,MEDIUM,type_NOISE selected_MEDIUM location_ליד ארון החשמל רעש מתמשך מהחניה
NOISE,LOW,שומעים מעט רעש מהשכנים במהלך היום זה קורה כבר כמה פעמים,בגינה,LOW,type_NOISE selected_LOW location_בגינה שומעים מעט רעש מהשכנים במהלך היום זה קורה כבר כמה פעמים
OTHER,MEDIUM,תקלה שמשפיעה על כמה דיירים,בחדר אשפה,MEDIUM,type_OTHER selected_MEDIUM location_בחדר אשפה תקלה שמשפיעה על כמה דיירים
SAFETY,LOW,דלת כניסה לא נסגרת ויש חשש ביטחוני,בכניסה לבניין,MEDIUM,type_SAFETY selected_LOW location_בכניסה לבניין דלת כניסה לא נסגרת ויש חשש ביטחוני
SAFETY,MEDIUM,תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה זה קורה כבר כמה פעמים,בגינה,MEDIUM,type_SAFETY selected_MEDIUM location_בגינה תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה זה קורה כבר כמה פעמים
NOISE,LOW,שומעים מעט רעש מהשכנים במהלך היום,בקומה 2,LOW,type_NOISE selected_LOW location_בקומה 2 שומעים מעט רעש מהשכנים במהלך היום
CLEANLINESS,LOW,צריך ניקיון רגיל בחדר מדרגות זה קורה כבר כמה פעמים,בגינה,LOW,type_CLEANLINESS selected_LOW location_בגינה צריך ניקיון רגיל בחדר מדרגות זה קורה כבר כמה פעמים
SAFETY,HIGH,עשן יוצא מחדר החשמל זה קורה כבר כמה פעמים,ליד ארון החשמל,HIGH,type_SAFETY selected_HIGH location_ליד ארון החשמל עשן יוצא מחדר החשמל זה קורה כבר כמה פעמים
OTHER,LOW,צריך לבדוק משהו לא דחוף זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחניה,LOW,type_OTHER selected_LOW location_בחניה צריך לבדוק משהו לא דחוף זה קורה כבר כמה פעמים הדיירים התלוננו על זה
NOISE,MEDIUM,שיפוצים מרעישים בשעות לא מתאימות,בקומה 2,MEDIUM,type_NOISE selected_MEDIUM location_בקומה 2 שיפוצים מרעישים בשעות לא מתאימות
CLEANLINESS,MEDIUM,יש הרבה אשפה בחדר אשפה וריח רע,בגינה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בגינה יש הרבה אשפה בחדר אשפה וריח רע
SAFETY,MEDIUM,יש סכנת התחשמלות,בקומה 1,HIGH,type_SAFETY selected_MEDIUM location_בקומה 1 יש סכנת התחשמלות
OTHER,HIGH,אירוע חירום שדורש טיפול מיידי זה קורה כבר כמה פעמים,בקומה 5,HIGH,type_OTHER selected_HIGH location_בקומה 5 אירוע חירום שדורש טיפול מיידי זה קורה כבר כמה פעמים
CLEANLINESS,LOW,יש מעט אבק ליד הכניסה,,LOW,type_CLEANLINESS selected_LOW location_ יש מעט אבק ליד הכניסה
CLEANLINESS,HIGH,לכלוך חמור שעלול לגרום לסכנה בריאותית זה קורה כבר כמה פעמים,,HIGH,type_CLEANLINESS selected_HIGH location_ לכלוך חמור שעלול לגרום לסכנה בריאותית זה קורה כבר כמה פעמים
SAFETY,HIGH,ריח גז חזק בבניין זה קורה כבר כמה פעמים,בחניה,HIGH,type_SAFETY selected_HIGH location_בחניה ריח גז חזק בבניין זה קורה כבר כמה פעמים
OTHER,HIGH,אירוע חריג שמצריך תגובה מיידית,בקומה 5,HIGH,type_OTHER selected_HIGH location_בקומה 5 אירוע חריג שמצריך תגובה מיידית
SAFETY,HIGH,זכוכית שבורה מסוכנת ליד הכניסה,ליד המעלית,HIGH,type_SAFETY selected_HIGH location_ליד המעלית זכוכית שבורה מסוכנת ליד הכניסה
SAFETY,LOW,ריח גז חזק בבניין הדיירים התלוננו על זה,בכניסה לבניין,HIGH,type_SAFETY selected_LOW location_בכניסה לבניין ריח גז חזק בבניין הדיירים התלוננו על זה
NOISE,LOW,יש דיבורים בקומה אבל זה לא מפריע מאוד,בקומה 5,LOW,type_NOISE selected_LOW location_בקומה 5 יש דיבורים בקומה אבל זה לא מפריע מאוד
NOISE,MEDIUM,רעש מתמשך מהחניה,ליד המעלית,MEDIUM,type_NOISE selected_MEDIUM location_ליד המעלית רעש מתמשך מהחניה
CLEANLINESS,HIGH,נזילה קטנה שגרמה לרטיבות בקיר,בחדר מדרגות,MEDIUM,type_CLEANLINESS selected_HIGH location_בחדר מדרגות נזילה קטנה שגרמה לרטיבות בקיר
SAFETY,MEDIUM,מרצפת שבורה שעלולה לגרום לנפילה הדיירים התלוננו על זה,במחסן,MEDIUM,type_SAFETY selected_MEDIUM location_במחסן מרצפת שבורה שעלולה לגרום לנפילה הדיירים התלוננו על זה
SAFETY,MEDIUM,דלת כניסה לא נסגרת ויש חשש ביטחוני הדיירים התלוננו על זה,בקומה 1,MEDIUM,type_SAFETY selected_MEDIUM location_בקומה 1 דלת כניסה לא נסגרת ויש חשש ביטחוני הדיירים התלוננו על זה
SAFETY,MEDIUM,מעקה רופף שצריך תיקון בהקדם נא לטפל בהקדם,ליד ארון החשמל,MEDIUM,type_SAFETY selected_MEDIUM location_ליד ארון החשמל מעקה רופף שצריך תיקון בהקדם נא לטפל בהקדם
CLEANLINESS,MEDIUM,יש הרבה אשפה בחדר אשפה וריח רע,בקומה 5,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בקומה 5 יש הרבה אשפה בחדר אשפה וריח רע
SAFETY,LOW,מעלית תקועה עם אנשים בפנים זה קורה כבר כמה פעמים,בחניה,HIGH,type_SAFETY selected_LOW location_בחניה מעלית תקועה עם אנשים בפנים זה קורה כבר כמה פעמים
OTHER,HIGH,יש הערה קטנה לגבי תחזוקה,,LOW,type_OTHER selected_HIGH location_ יש הערה קטנה לגבי תחזוקה
SAFETY,MEDIUM,מרצפת שבורה שעלולה לגרום לנפילה,במחסן,MEDIUM,type_SAFETY selected_MEDIUM location_במחסן מרצפת שבורה שעלולה לגרום לנפילה
OTHER,HIGH,תקלה דחופה מאוד בבניין,בחדר אשפה,HIGH,type_OTHER selected_HIGH location_בחדר אשפה תקלה דחופה מאוד בבניין
OTHER,HIGH,נדרש טיפול של ועד הבית בזמן הקרוב הדיירים התלוננו על זה,בגינה,MEDIUM,type_OTHER selected_HIGH location_בגינה נדרש טיפול של ועד הבית בזמן הקרוב הדיירים התלוננו על זה
SAFETY,LOW,מעקה רופף שצריך תיקון בהקדם זה קורה כבר כמה פעמים נא לטפל בהקדם,במחסן,MEDIUM,type_SAFETY selected_LOW location_במחסן מעקה רופף שצריך תיקון בהקדם זה קורה כבר כמה פעמים נא לטפל בהקדם
NOISE,HIGH,רעש חריג מאוד באמצע הלילה עם צעקות חזקות זה קורה כבר כמה פעמים,בלובי,HIGH,type_NOISE selected_HIGH location_בלובי רעש חריג מאוד באמצע הלילה עם צעקות חזקות זה קורה כבר כמה פעמים
OTHER,MEDIUM,יש בעיה קטנה שאפשר לטפל בה בהמשך נא לטפל בהקדם,בחדר מדרגות,LOW,type_OTHER selected_MEDIUM location_בחדר מדרגות יש בעיה קטנה שאפשר לטפל בה בהמשך נא לטפל בהקדם
NOISE,MEDIUM,צעקות ורעש בחדר מדרגות זה קורה כבר כמה פעמים,בלובי,MEDIUM,type_NOISE selected_MEDIUM location_בלובי צעקות ורעש בחדר מדרגות זה קורה כבר כמה פעמים
CLEANLINESS,MEDIUM,נזילה קטנה שגרמה לרטיבות בקיר,בחדר אשפה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בחדר אשפה נזילה קטנה שגרמה לרטיבות בקיר
SAFETY,LOW,ריח גז חזק בבניין,בקומה 1,HIGH,type_SAFETY selected_LOW location_בקומה 1 ריח גז חזק בבניין
OTHER,HIGH,בקשה כללית לבדיקה כשאפשר הדיירים התלוננו על זה,בקומה 5,LOW,type_OTHER selected_HIGH location_בקומה 5 בקשה כללית לבדיקה כשאפשר הדיירים התלוננו על זה
NOISE,HIGH,מטרד רעש קיצוני ומתמשך,ליד ארון החשמל,HIGH,type_NOISE selected_HIGH location_ליד ארון החשמל מטרד רעש קיצוני ומתמשך
OTHER,LOW,תקלה לא מסוכנת אבל מפריעה לדיירים,בכניסה לבניין,MEDIUM,type_OTHER selected_LOW location_בכניסה לבניין תקלה לא מסוכנת אבל מפריעה לדיירים
OTHER,LOW,יש בעיה קטנה שאפשר לטפל בה בהמשך,בחדר אשפה,LOW,type_OTHER selected_LOW location_בחדר אשפה יש בעיה קטנה שאפשר לטפל בה בהמשך
CLEANLINESS,MEDIUM,שקיות זבל נשארו ליד הכניסה,במחסן,MEDIUM,type_CLEANLINESS selected_MEDIUM location_במחסן שקיות זבל נשארו ליד הכניסה
CLEANLINESS,MEDIUM,יש ריח לא נעים בלובי כבר יומיים נא לטפל בהקדם הדיירים התלוננו על זה,בגינה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בגינה יש ריח לא נעים בלובי כבר יומיים נא לטפל בהקדם הדיירים התלוננו על זה
SAFETY,MEDIUM,יש ונדליזם ליד המעלית,במחסן,MEDIUM,type_SAFETY selected_MEDIUM location_במחסן יש ונדליזם ליד המעלית
NOISE,LOW,שומעים מעט רעש מהשכנים במהלך היום הדיירים התלוננו על זה,בחדר אשפה,LOW,type_NOISE selected_LOW location_בחדר אשפה שומעים מעט רעש מהשכנים במהלך היום הדיירים התלוננו על זה
OTHER,MEDIUM,תקלה לא מסוכנת אבל מפריעה לדיירים,בקומה 1,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 1 תקלה לא מסוכנת אבל מפריעה לדיירים
NOISE,MEDIUM,שיפוצים מרעישים בשעות לא מתאימות,בגינה,MEDIUM,type_NOISE selected_MEDIUM location_בגינה שיפוצים מרעישים בשעות לא מתאימות
OTHER,LOW,תקלה דחופה מאוד בבניין נא לטפל בהקדם,בגינה,HIGH,type_OTHER selected_LOW location_בגינה תקלה דחופה מאוד בבניין נא לטפל בהקדם
CLEANLINESS,LOW,יש קצת לכלוך בלובי נא לטפל בהקדם,בקומה 2,LOW,type_CLEANLINESS selected_LOW location_בקומה 2 יש קצת לכלוך בלובי נא לטפל בהקדם
NOISE,HIGH,רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות,בחניה,HIGH,type_NOISE selected_HIGH location_בחניה רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות
NOISE,HIGH,קולות חזקים של שבירה ואלימות מהדירה,,HIGH,type_NOISE selected_HIGH location_ קולות חזקים של שבירה ואלימות מהדירה
CLEANLINESS,LOW,אשפה מסוכנת מפוזרת בכניסה לבניין זה קורה כבר כמה פעמים,בכניסה לבניין,HIGH,type_CLEANLINESS selected_LOW location_בכניסה לבניין אשפה מסוכנת מפוזרת בכניסה לבניין זה קורה כבר כמה פעמים
CLEANLINESS,LOW,יש קצת לכלוך בלובי נא לטפל בהקדם,,LOW,type_CLEANLINESS selected_LOW location_ יש קצת לכלוך בלובי נא לטפל בהקדם
SAFETY,MEDIUM,זכוכית שבורה מסוכנת ליד הכניסה נא לטפל בהקדם,בחניה,HIGH,type_SAFETY selected_MEDIUM location_בחניה זכוכית שבורה מסוכנת ליד הכניסה נא לטפל בהקדם
CLEANLINESS,HIGH,ביוב עולה ויש ריח חריף מאוד,בלובי,HIGH,type_CLEANLINESS selected_HIGH location_בלובי ביוב עולה ויש ריח חריף מאוד
NOISE,MEDIUM,צעקות ורעש בחדר מדרגות נא לטפל בהקדם,ליד ארון החשמל,MEDIUM,type_NOISE selected_MEDIUM location_ליד ארון החשמל צעקות ורעש בחדר מדרגות נא לטפל בהקדם
SAFETY,HIGH,יש ניצוצות מארון החשמל בלובי,בקומה 2,HIGH,type_SAFETY selected_HIGH location_בקומה 2 יש ניצוצות מארון החשמל בלובי
OTHER,MEDIUM,נדרש טיפול של ועד הבית בזמן הקרוב,ליד ארון החשמל,MEDIUM,type_OTHER selected_MEDIUM location_ליד ארון החשמל נדרש טיפול של ועד הבית בזמן הקרוב
NOISE,HIGH,רעש חירום חזק מהחניה בשעות הלילה,בגינה,HIGH,type_NOISE selected_HIGH location_בגינה רעש חירום חזק מהחניה בשעות הלילה
NOISE,LOW,קולות חזקים של שבירה ואלימות מהדירה נא לטפל בהקדם,בלובי,HIGH,type_NOISE selected_LOW location_בלובי קולות חזקים של שבירה ואלימות מהדירה נא לטפל בהקדם
CLEANLINESS,MEDIUM,לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים נא לטפל בהקדם,בחניה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בחניה לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים נא לטפל בהקדם
SAFETY,HIGH,עשן יוצא מחדר החשמל הדיירים התלוננו על זה,בלובי,HIGH,type_SAFETY selected_HIGH location_בלובי עשן יוצא מחדר החשמל הדיירים התלוננו על זה
NOISE,MEDIUM,מוזיקה חזקה מהדירה מעל כבר כמה שעות הדיירים התלוננו על זה,בחניה,MEDIUM,type_NOISE selected_MEDIUM location_בחניה מוזיקה חזקה מהדירה מעל כבר כמה שעות הדיירים התלוננו על זה
CLEANLINESS,LOW,יש כמה ניירות על הרצפה,ליד ארון החשמל,LOW,type_CLEANLINESS selected_LOW location_ליד ארון החשמל יש כמה ניירות על הרצפה
NOISE,LOW,יש דיבורים בקומה אבל זה לא מפריע מאוד,בלובי,LOW,type_NOISE selected_LOW location_בלובי יש דיבורים בקומה אבל זה לא מפריע מאוד
CLEANLINESS,MEDIUM,יש הרבה אשפה בחדר אשפה וריח רע,בלובי,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בלובי יש הרבה אשפה בחדר אשפה וריח רע
CLEANLINESS,LOW,פח קטן לא רוקן אבל לא דחוף,,LOW,type_CLEANLINESS selected_LOW location_ פח קטן לא רוקן אבל לא דחוף
OTHER,MEDIUM,בעיה שחוזרת כמה פעמים ודורשת טיפול נא לטפל בהקדם,במחסן,MEDIUM,type_OTHER selected_MEDIUM location_במחסן בעיה שחוזרת כמה פעמים ודורשת טיפול נא לטפל בהקדם
OTHER,LOW,צריך לבדוק משהו לא דחוף זה קורה כבר כמה פעמים,בלובי,LOW,type_OTHER selected_LOW location_בלובי צריך לבדוק משהו לא דחוף זה קורה כבר כמה פעמים
CLEANLINESS,MEDIUM,נזילה קטנה שגרמה לרטיבות בקיר,בקומה 1,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בקומה 1 נזילה קטנה שגרמה לרטיבות בקיר
SAFETY,MEDIUM,קיר או תקרה נראים לפני קריסה הדיירים התלוננו על זה,ליד המעלית,HIGH,type_SAFETY selected_MEDIUM location_ליד המעלית קיר או תקרה נראים לפני קריסה הדיירים התלוננו על זה
CLEANLINESS,HIGH,אשפה מסוכנת מפוזרת בכניסה לבניין,,HIGH,type_CLEANLINESS selected_HIGH location_ אשפה מסוכנת מפוזרת בכניסה לבניין
OTHER,MEDIUM,תקלה שמשפיעה על כמה דיירים,בכניסה לבניין,MEDIUM,type_OTHER selected_MEDIUM location_בכניסה לבניין תקלה שמשפיעה על כמה דיירים
NOISE,MEDIUM,צעקות ורעש בחדר מדרגות נא לטפל בהקדם,בקומה 1,MEDIUM,type_NOISE selected_MEDIUM location_בקומה 1 צעקות ורעש בחדר מדרגות נא לטפל בהקדם
CLEANLINESS,LOW,צריך ניקיון רגיל בחדר מדרגות,במחסן,LOW,type_CLEANLINESS selected_LOW location_במחסן צריך ניקיון רגיל בחדר מדרגות
NOISE,LOW,שומעים מעט רעש מהשכנים במהלך היום נא לטפל בהקדם,בחניה,LOW,type_NOISE selected_LOW location_בחניה שומעים מעט רעש מהשכנים במהלך היום נא לטפל בהקדם
SAFETY,HIGH,קיר או תקרה נראים לפני קריסה זה קורה כבר כמה פעמים נא לטפל בהקדם,בלובי,HIGH,type_SAFETY selected_HIGH location_בלובי קיר או תקרה נראים לפני קריסה זה קורה כבר כמה פעמים נא לטפל בהקדם
CLEANLINESS,MEDIUM,יש קצת לכלוך בלובי,בחניה,LOW,type_CLEANLINESS selected_MEDIUM location_בחניה יש קצת לכלוך בלובי
OTHER,LOW,יש הערה קטנה לגבי תחזוקה,בחדר מדרגות,LOW,type_OTHER selected_LOW location_בחדר מדרגות יש הערה קטנה לגבי תחזוקה
OTHER,MEDIUM,יש הערה קטנה לגבי תחזוקה,בקומה 5,LOW,type_OTHER selected_MEDIUM location_בקומה 5 יש הערה קטנה לגבי תחזוקה
SAFETY,LOW,קיר או תקרה נראים לפני קריסה,בכניסה לבניין,HIGH,type_SAFETY selected_LOW location_בכניסה לבניין קיר או תקרה נראים לפני קריסה
NOISE,LOW,מישהו הזיז רהיטים לזמן קצר זה קורה כבר כמה פעמים,במחסן,LOW,type_NOISE selected_LOW location_במחסן מישהו הזיז רהיטים לזמן קצר זה קורה כבר כמה פעמים
OTHER,HIGH,מצב מסוכן שמצריך טיפול בהול,בחניה,HIGH,type_OTHER selected_HIGH location_בחניה מצב מסוכן שמצריך טיפול בהול
OTHER,HIGH,בעיה חמורה שמסכנת דיירים זה קורה כבר כמה פעמים,ליד המעלית,HIGH,type_OTHER selected_HIGH location_ליד המעלית בעיה חמורה שמסכנת דיירים זה קורה כבר כמה פעמים
OTHER,LOW,דיווח כללי ללא סכנה נא לטפל בהקדם,במחסן,LOW,type_OTHER selected_LOW location_במחסן דיווח כללי ללא סכנה נא לטפל בהקדם
SAFETY,HIGH,קיר או תקרה נראים לפני קריסה נא לטפל בהקדם,בגינה,HIGH,type_SAFETY selected_HIGH location_בגינה קיר או תקרה נראים לפני קריסה נא לטפל בהקדם
SAFETY,LOW,דלת המחסן לא נסגרת טוב זה קורה כבר כמה פעמים,ליד המעלית,LOW,type_SAFETY selected_LOW location_ליד המעלית דלת המחסן לא נסגרת טוב זה קורה כבר כמה פעמים
CLEANLINESS,LOW,נזילה קטנה שגרמה לרטיבות בקיר הדיירים התלוננו על זה,בחניה,MEDIUM,type_CLEANLINESS selected_LOW location_בחניה נזילה קטנה שגרמה לרטיבות בקיר הדיירים התלוננו על זה
CLEANLINESS,MEDIUM,הצפה בחדר מדרגות ומים זורמים,במחסן,HIGH,type_CLEANLINESS selected_MEDIUM location_במחסן הצפה בחדר מדרגות ומים זורמים
CLEANLINESS,LOW,יש כמה ניירות על הרצפה זה קורה כבר כמה פעמים,,LOW,type_CLEANLINESS selected_LOW location_ יש כמה ניירות על הרצפה זה קורה כבר כמה פעמים
SAFETY,LOW,יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים,ליד ארון החשמל,LOW,type_SAFETY selected_LOW location_ליד ארון החשמל יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים
NOISE,MEDIUM,רעש חזק בלילה שמפריע לדיירים,ליד ארון החשמל,MEDIUM,type_NOISE selected_MEDIUM location_ליד ארון החשמל רעש חזק בלילה שמפריע לדיירים
CLEANLINESS,LOW,יש ריח לא נעים בלובי כבר יומיים,בחדר מדרגות,MEDIUM,type_CLEANLINESS selected_LOW location_בחדר מדרגות יש ריח לא נעים בלובי כבר יומיים
CLEANLINESS,MEDIUM,לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים,בגינה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בגינה לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים
CLEANLINESS,LOW,יש כמה ניירות על הרצפה,,LOW,type_CLEANLINESS selected_LOW location_ יש כמה ניירות על הרצפה
SAFETY,MEDIUM,מרצפת שבורה שעלולה לגרום לנפילה,במחסן,MEDIUM,type_SAFETY selected_MEDIUM location_במחסן מרצפת שבורה שעלולה לגרום לנפילה
CLEANLINESS,HIGH,אשפה מסוכנת מפוזרת בכניסה לבניין,בחדר מדרגות,HIGH,type_CLEANLINESS selected_HIGH location_בחדר מדרגות אשפה מסוכנת מפוזרת בכניסה לבניין
NOISE,MEDIUM,רעש מתמשך מהחניה,בחדר אשפה,MEDIUM,type_NOISE selected_MEDIUM location_בחדר אשפה רעש מתמשך מהחניה
SAFETY,HIGH,יש ריח שרוף ליד ארון החשמל זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחניה,HIGH,type_SAFETY selected_HIGH location_בחניה יש ריח שרוף ליד ארון החשמל זה קורה כבר כמה פעמים הדיירים התלוננו על זה
CLEANLINESS,MEDIUM,פח קטן לא רוקן אבל לא דחוף זה קורה כבר כמה פעמים,במחסן,LOW,type_CLEANLINESS selected_MEDIUM location_במחסן פח קטן לא רוקן אבל לא דחוף זה קורה כבר כמה פעמים
CLEANLINESS,MEDIUM,יש הרבה אשפה בחדר אשפה וריח רע זה קורה כבר כמה פעמים,בקומה 5,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בקומה 5 יש הרבה אשפה בחדר אשפה וריח רע זה קורה כבר כמה פעמים
OTHER,LOW,צריך לבדוק משהו לא דחוף,,LOW,type_OTHER selected_LOW location_ צריך לבדוק משהו לא דחוף
OTHER,MEDIUM,בעיה שחוזרת כמה פעמים ודורשת טיפול זה קורה כבר כמה פעמים,בלובי,MEDIUM,type_OTHER selected_MEDIUM location_בלובי בעיה שחוזרת כמה פעמים ודורשת טיפול זה קורה כבר כמה פעמים
CLEANLINESS,LOW,יש מעט אבק ליד הכניסה,בקומה 5,LOW,type_CLEANLINESS selected_LOW location_בקומה 5 יש מעט אבק ליד הכניסה
SAFETY,HIGH,יש ריח שרוף ליד ארון החשמל זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בלובי,HIGH,type_SAFETY selected_HIGH location_בלובי יש ריח שרוף ליד ארון החשמל זה קורה כבר כמה פעמים הדיירים התלוננו על זה
NOISE,MEDIUM,מוזיקה חזקה מהדירה מעל כבר כמה שעות,בחניה,MEDIUM,type_NOISE selected_MEDIUM location_בחניה מוזיקה חזקה מהדירה מעל כבר כמה שעות
OTHER,MEDIUM,נדרש טיפול של ועד הבית בזמן הקרוב זה קורה כבר כמה פעמים,בכניסה לבניין,MEDIUM,type_OTHER selected_MEDIUM location_בכניסה לבניין נדרש טיפול של ועד הבית בזמן הקרוב זה קורה כבר כמה פעמים
NOISE,HIGH,רעש חריג מאוד באמצע הלילה עם צעקות חזקות,בחניה,HIGH,type_NOISE selected_HIGH location_בחניה רעש חריג מאוד באמצע הלילה עם צעקות חזקות
OTHER,MEDIUM,יש בעיה מתמשכת בבניין זה קורה כבר כמה פעמים,בחדר מדרגות,MEDIUM,type_OTHER selected_MEDIUM location_בחדר מדרגות יש בעיה מתמשכת בבניין זה קורה כבר כמה פעמים
OTHER,LOW,יש בעיה קטנה שאפשר לטפל בה בהמשך נא לטפל בהקדם,בקומה 5,LOW,type_OTHER selected_LOW location_בקומה 5 יש בעיה קטנה שאפשר לטפל בה בהמשך נא לטפל בהקדם
SAFETY,HIGH,יש סכנת התחשמלות נא לטפל בהקדם,בחדר אשפה,HIGH,type_SAFETY selected_HIGH location_בחדר אשפה יש סכנת התחשמלות נא לטפל בהקדם
NOISE,MEDIUM,רעש מתמשך מהחניה הדיירים התלוננו על זה,בלובי,MEDIUM,type_NOISE selected_MEDIUM location_בלובי רעש מתמשך מהחניה הדיירים התלוננו על זה
OTHER,HIGH,מצב מסוכן שמצריך טיפול בהול,בחדר אשפה,HIGH,type_OTHER selected_HIGH location_בחדר אשפה מצב מסוכן שמצריך טיפול בהול
CLEANLINESS,HIGH,ביוב עולה ויש ריח חריף מאוד,ליד ארון החשמל,HIGH,type_CLEANLINESS selected_HIGH location_ליד ארון החשמל ביוב עולה ויש ריח חריף מאוד
OTHER,LOW,בקשה כללית לבדיקה כשאפשר,בקומה 5,LOW,type_OTHER selected_LOW location_בקומה 5 בקשה כללית לבדיקה כשאפשר
NOISE,MEDIUM,צעקות ורעש בחדר מדרגות הדיירים התלוננו על זה,בקומה 5,MEDIUM,type_NOISE selected_MEDIUM location_בקומה 5 צעקות ורעש בחדר מדרגות הדיירים התלוננו על זה
SAFETY,LOW,דלת המחסן לא נסגרת טוב,ליד ארון החשמל,LOW,type_SAFETY selected_LOW location_ליד ארון החשמל דלת המחסן לא נסגרת טוב
NOISE,LOW,יש דיבורים בקומה אבל זה לא מפריע מאוד,בגינה,LOW,type_NOISE selected_LOW location_בגינה יש דיבורים בקומה אבל זה לא מפריע מאוד
SAFETY,LOW,תאורה חלשה באזור הכניסה,במחסן,LOW,type_SAFETY selected_LOW location_במחסן תאורה חלשה באזור הכניסה
CLEANLINESS,HIGH,אשפה מסוכנת מפוזרת בכניסה לבניין נא לטפל בהקדם,ליד המעלית,HIGH,type_CLEANLINESS selected_HIGH location_ליד המעלית אשפה מסוכנת מפוזרת בכניסה לבניין נא לטפל בהקדם
SAFETY,HIGH,יש ניצוצות מארון החשמל בלובי,בקומה 1,HIGH,type_SAFETY selected_HIGH location_בקומה 1 יש ניצוצות מארון החשמל בלובי
SAFETY,HIGH,יש סכנת התחשמלות הדיירים התלוננו על זה,בקומה 2,HIGH,type_SAFETY selected_HIGH location_בקומה 2 יש סכנת התחשמלות הדיירים התלוננו על זה
SAFETY,LOW,מעקה מעט רופף אבל לא נראה מסוכן כרגע,ליד ארון החשמל,LOW,type_SAFETY selected_LOW location_ליד ארון החשמל מעקה מעט רופף אבל לא נראה מסוכן כרגע
NOISE,HIGH,רעש קל מהחצר בשעות היום,בגינה,LOW,type_NOISE selected_HIGH location_בגינה רעש קל מהחצר בשעות היום
NOISE,MEDIUM,מוזיקה חזקה מהדירה מעל כבר כמה שעות זה קורה כבר כמה פעמים,במחסן,MEDIUM,type_NOISE selected_MEDIUM location_במחסן מוזיקה חזקה מהדירה מעל כבר כמה שעות זה קורה כבר כמה פעמים
NOISE,LOW,יש רעש חלש מדי פעם אבל לא דחוף,ליד ארון החשמל,LOW,type_NOISE selected_LOW location_ליד ארון החשמל יש רעש חלש מדי פעם אבל לא דחוף
OTHER,MEDIUM,בעיה שחוזרת כמה פעמים ודורשת טיפול,ליד המעלית,MEDIUM,type_OTHER selected_MEDIUM location_ליד המעלית בעיה שחוזרת כמה פעמים ודורשת טיפול
SAFETY,HIGH,מרצפת מעט עקומה ללא סכנה מיידית,בקומה 5,LOW,type_SAFETY selected_HIGH location_בקומה 5 מרצפת מעט עקומה ללא סכנה מיידית
